code_module,code_presentation,id_student,gender,region,highest_education,final_result,module_presentation_length,days_studied,activities_engaged,total_clicks,assessments_completed,average_assessment_score
AAA,2013J,11391,M,East Anglian Region,HE Qualification,Pass,268,40.0,196.0,934.0,0.8333333333333334,82.0
AAA,2013J,28400,F,Scotland,HE Qualification,Pass,268,80.0,430.0,1435.0,0.8333333333333334,66.4
AAA,2013J,30268,F,North Western Region,A Level or Equivalent,Withdrawn,268,12.0,76.0,281.0,0.0,0.0
AAA,2013J,31604,F,South East Region,A Level or Equivalent,Pass,268,123.0,663.0,2158.0,0.8333333333333334,76.0
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,Pass,268,70.0,352.0,1034.0,0.8333333333333334,54.4
AAA,2013J,38053,M,Wales,A Level or Equivalent,Pass,268,143.0,723.0,2445.0,0.8333333333333334,68.0
AAA,2013J,45462,M,Scotland,HE Qualification,Pass,268,90.0,355.0,1492.0,0.8333333333333334,68.0
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,Pass,268,105.0,531.0,1428.0,0.8333333333333334,72.4
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,Pass,268,122.0,593.0,1894.0,0.8333333333333334,71.4
AAA,2013J,57506,M,South Region,Lower Than A Level,Pass,268,90.0,403.0,1319.0,0.8333333333333334,74.0
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,Pass,268,120.0,526.0,1732.0,0.8333333333333334,73.2
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,Pass,268,61.0,345.0,1102.0,0.8333333333333334,78.6
AAA,2013J,62155,F,North Western Region,HE Qualification,Pass,268,148.0,981.0,3388.0,0.8333333333333334,76.0
AAA,2013J,63400,M,Scotland,Lower Than A Level,Pass,268,175.0,760.0,2737.0,0.8333333333333334,71.6
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,Withdrawn,268,11.0,54.0,171.0,0.3333333333333333,67.0
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,Pass,268,46.0,205.0,1053.0,0.8333333333333334,55.6
AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,Fail,268,14.0,72.0,116.0,0.6666666666666666,48.5
AAA,2013J,75091,M,South West Region,A Level or Equivalent,Pass,268,122.0,754.0,2992.0,0.8333333333333334,66.0
AAA,2013J,77367,M,East Midlands Region,A Level or Equivalent,Pass,268,86.0,271.0,680.0,0.8333333333333334,70.4
AAA,2013J,91265,M,North Western Region,HE Qualification,Pass,268,125.0,496.0,1494.0,0.8333333333333334,70.8
AAA,2013J,94961,M,South Region,Lower Than A Level,Withdrawn,268,24.0,102.0,339.0,0.16666666666666666,74.0
AAA,2013J,98094,M,Wales,Lower Than A Level,Pass,268,91.0,386.0,2839.0,0.8333333333333334,60.6
AAA,2013J,100893,M,Yorkshire Region,A Level or Equivalent,Pass,268,52.0,243.0,744.0,0.8333333333333334,68.4
AAA,2013J,102806,M,North Western Region,A Level or Equivalent,Pass,268,177.0,781.0,1944.0,0.8333333333333334,78.0
AAA,2013J,102952,M,London Region,HE Qualification,Pass,268,58.0,313.0,1150.0,0.8333333333333334,76.6
AAA,2013J,106247,M,South Region,HE Qualification,Withdrawn,268,33.0,145.0,465.0,0.5,60.0
AAA,2013J,106577,M,East Midlands Region,Lower Than A Level,Pass,268,47.0,221.0,733.0,0.8333333333333334,53.4
AAA,2013J,110175,M,East Anglian Region,HE Qualification,Pass,268,70.0,343.0,998.0,0.8333333333333334,63.4
AAA,2013J,111717,F,East Anglian Region,HE Qualification,Pass,268,136.0,589.0,2343.0,0.5,81.0
AAA,2013J,113295,M,Yorkshire Region,Lower Than A Level,Pass,268,195.0,1001.0,3553.0,0.8333333333333334,77.6
AAA,2013J,114999,M,Yorkshire Region,HE Qualification,Pass,268,120.0,510.0,1358.0,0.8333333333333334,72.8
AAA,2013J,116541,M,Wales,HE Qualification,Pass,268,108.0,514.0,1886.0,0.8333333333333334,62.4
AAA,2013J,116692,M,East Anglian Region,A Level or Equivalent,Pass,268,98.0,311.0,1108.0,0.8333333333333334,74.2
AAA,2013J,118983,M,East Midlands Region,HE Qualification,Pass,268,27.0,111.0,284.0,0.8333333333333334,61.8
AAA,2013J,123044,M,South Region,A Level or Equivalent,Pass,268,127.0,600.0,2041.0,0.8333333333333334,71.4
AAA,2013J,127582,F,East Midlands Region,A Level or Equivalent,Pass,268,89.0,440.0,1321.0,0.8333333333333334,69.6
AAA,2013J,129955,M,West Midlands Region,A Level or Equivalent,Withdrawn,268,83.0,303.0,1011.0,0.5,81.0
AAA,2013J,132976,F,East Anglian Region,Lower Than A Level,Pass,268,32.0,152.0,520.0,0.8333333333333334,67.4
AAA,2013J,134143,F,South East Region,A Level or Equivalent,Distinction,268,138.0,569.0,2732.0,0.8333333333333334,84.4
AAA,2013J,135335,F,East Anglian Region,Lower Than A Level,Withdrawn,268,10.0,25.0,57.0,0.0,0.0
AAA,2013J,135400,F,South East Region,Lower Than A Level,Withdrawn,268,24.0,109.0,287.0,0.3333333333333333,61.5
AAA,2013J,141355,F,East Midlands Region,A Level or Equivalent,Pass,268,92.0,585.0,1823.0,0.8333333333333334,72.6
AAA,2013J,141377,M,South West Region,A Level or Equivalent,Withdrawn,268,9.0,44.0,143.0,0.16666666666666666,45.0
AAA,2013J,142326,F,North Region,A Level or Equivalent,Pass,268,95.0,631.0,2121.0,0.8333333333333334,73.6
AAA,2013J,145130,M,South West Region,HE Qualification,Pass,268,35.0,149.0,452.0,0.8333333333333334,54.4
AAA,2013J,146188,F,West Midlands Region,A Level or Equivalent,Fail,268,32.0,192.0,597.0,0.8333333333333334,50.0
AAA,2013J,147756,M,North Region,Lower Than A Level,Fail,268,74.0,228.0,611.0,0.6666666666666666,73.75
