student_user_idx,course_id,key,course_learning_content_id,lesson_id,lesson_item_id,lesson_subitem_id,body,attend_absente_late,is_available,total_learning_time_in_seconds,registered_by_user_idx,registered_date,last_modified_by_user_idx,last_modified_date
99,90,1,459,96,128,140,"[{""size"":69432,""mime_type"":""application\/pdf"",""name"":""sample2.pdf"",""url"":""kttutoring\/content\/2022\/7\/6f92c531-5107-4060-8091-5bbb2e6fb0f5.pdf"",""type_code"":6}]",5,1,0,1,2022-07-18 15:39,146,2022-07-18 15:46
99,90,2,460,97,129,141,"[{""size"":3028,""mime_type"":""application\/pdf"",""name"":""sample.pdf"",""url"":""kttutoring\/content\/2022\/7\/ed2eccf0-fe50-4b8a-a06f-6eeb30685049.pdf"",""type_code"":6}]",5,1,0,1,2022-07-18 15:39,146,2022-07-18 15:46
99,90,1,465,\0,\0,\0,\0,5,1,0,146,2022-07-18 15:46,146,2022-07-18 15:46
99,92,1,447,102,134,146,"[{""size"":1768165,""mime_type"":""image\/png"",""name"":""a7f424df-cf3e-4384-9658-1ed1f58f3a851547431689956.png"",""url"":""kttutoring\/content\/2022\/7\/1ad73372-f0a6-4a78-823b-d4e7e5f000c4.png"",""type_code"":6}]",5,1,0,49,2022-07-18 15:11,49,2022-07-18 15:21
140,92,1,447,102,134,146,"[{""size"":1768165,""mime_type"":""image\/png"",""name"":""a7f424df-cf3e-4384-9658-1ed1f58f3a851547431689956.png"",""url"":""kttutoring\/content\/2022\/7\/1ad73372-f0a6-4a78-823b-d4e7e5f000c4.png"",""type_code"":6}]",5,1,0,49,2022-07-18 15:11,49,2022-07-18 15:21
99,92,2,448,103,135,147,"[{""size"":34067,""mime_type"":""image\/jpeg"",""name"":""73dd6e95d7262f1a53a965e0918a597b.jpg"",""url"":""kttutoring\/content\/2022\/7\/8ad145b3-5fe7-474f-ab30-e747ca55c057.jpg"",""type_code"":6}]",5,1,0,49,2022-07-18 15:11,49,2022-07-18 15:21
140,92,2,448,103,135,147,"[{""size"":34067,""mime_type"":""image\/jpeg"",""name"":""73dd6e95d7262f1a53a965e0918a597b.jpg"",""url"":""kttutoring\/content\/2022\/7\/8ad145b3-5fe7-474f-ab30-e747ca55c057.jpg"",""type_code"":6}]",5,1,0,49,2022-07-18 15:11,49,2022-07-18 15:21
99,92,3,449,104,136,148,"[{""size"":1768165,""mime_type"":""image\/png"",""name"":""a7f424df-cf3e-4384-9658-1ed1f58f3a851547431689956.png"",""url"":""kttutoring\/content\/2022\/7\/a3759731-0178-4cc8-bd91-744804d48898.png"",""type_code"":6}]",5,1,0,49,2022-07-18 15:11,49,2022-07-18 15:21
140,92,3,449,104,136,148,"[{""size"":1768165,""mime_type"":""image\/png"",""name"":""a7f424df-cf3e-4384-9658-1ed1f58f3a851547431689956.png"",""url"":""kttutoring\/content\/2022\/7\/a3759731-0178-4cc8-bd91-744804d48898.png"",""type_code"":6}]",5,1,0,49,2022-07-18 15:11,49,2022-07-18 15:21
99,92,4,450,105,137,149,"[{""size"":1768165,""mime_type"":""image\/png"",""name"":""a7f424df-cf3e-4384-9658-1ed1f58f3a851547431689956.png"",""url"":""kttutoring\/content\/2022\/7\/51d0d9b2-3f70-4779-bcde-a34eedc24039.png"",""type_code"":6}]",5,1,0,49,2022-07-18 15:11,49,2022-07-18 15:21
140,92,4,450,105,137,149,"[{""size"":1768165,""mime_type"":""image\/png"",""name"":""a7f424df-cf3e-4384-9658-1ed1f58f3a851547431689956.png"",""url"":""kttutoring\/content\/2022\/7\/51d0d9b2-3f70-4779-bcde-a34eedc24039.png"",""type_code"":6}]",5,1,0,49,2022-07-18 15:11,49,2022-07-18 15:21
99,92,1,454,\0,\0,\0,\0,2,1,0,6,2022-07-18 15:13,49,2022-07-18 15:21
140,92,1,454,\0,\0,\0,\0,1,1,0,6,2022-07-18 15:13,49,2022-07-18 15:21
99,92,2,455,\0,\0,\0,\0,1,1,0,6,2022-07-18 15:14,49,2022-07-18 15:21
140,92,2,455,\0,\0,\0,\0,1,1,1118,6,2022-07-18 15:14,49,2022-07-18 15:21
99,92,3,456,\0,\0,\0,\0,1,1,0,6,2022-07-18 15:15,49,2022-07-18 15:21
140,92,3,456,\0,\0,\0,\0,1,1,0,6,2022-07-18 15:15,49,2022-07-18 15:21
99,92,4,457,\0,\0,\0,\0,5,1,0,6,2022-07-18 15:15,49,2022-07-18 15:21
140,92,4,457,\0,\0,\0,\0,1,1,0,6,2022-07-18 15:15,49,2022-07-18 15:21
69,94,2,477,\0,\0,\0,\0,5,1,0,47,2022-07-19 10:30,105,2022-07-19 22:59
69,94,2,478,\0,\0,\0,\0,5,1,0,47,2022-07-19 10:42,47,2022-07-19 10:42
69,94,2,479,\0,\0,\0,\0,5,1,0,47,2022-07-19 10:56,105,2022-07-19 23:15
69,98,2,480,\0,\0,\0,\0,5,1,0,47,2022-07-19 11:04,47,2022-07-19 11:04
69,101,\0,481,113,145,157,"[{""size"":1646613,""mime_type"":""application\/pdf"",""name"":""[카테노이드] 회사소개서.pdf"",""url"":""kttutoring\/content\/2022\/7\/36cd9942-bc45-4e03-83e6-b65af3dbf663.pdf"",""type_code"":6}]",5,1,0,55,2022-07-19 11:51,55,2022-07-19 11:51
69,101,\0,483,\0,\0,\0,\0,5,1,0,47,2022-07-19 11:54,47,2022-07-19 11:54
69,102,1,484,114,146,158,"[{""size"":1646613,""mime_type"":""application\/pdf"",""name"":""[카테노이드] 회사소개서.pdf"",""url"":""kttutoring\/content\/2022\/7\/e9c42f2e-b867-4f5a-a834-020558ab7aa4.pdf"",""type_code"":6}]",5,1,0,55,2022-07-19 12:00,47,2022-07-19 12:02
69,102,1,486,\0,\0,\0,\0,3,1,0,47,2022-07-19 12:02,47,2022-07-19 12:02
69,106,1,488,116,148,160,"[{""size"":1646613,""mime_type"":""application\/pdf"",""name"":""[카테노이드] 회사소개서.pdf"",""url"":""kttutoring\/content\/2022\/7\/f8d940fc-9416-4766-a628-a0b8d5af3a3b.pdf"",""type_code"":6}]",5,1,0,55,2022-07-19 13:14,47,2022-07-19 13:16
69,106,1,492,\0,\0,\0,\0,1,1,180,47,2022-07-19 13:16,47,2022-07-19 13:16
74,108,\0,504,120,152,164,"[{""size"":69818,""mime_type"":""image\/png"",""name"":""1233.png"",""url"":""kttutoring\/content\/2022\/7\/f1b99ab8-0f64-43e3-add9-e88c4dd0a21f.png"",""type_code"":6}]",5,1,5,62,2022-07-19 17:30,62,2022-07-19 17:38
99,112,1,506,121,153,165,"[{""size"":30720,""mime_type"":""image\/jpeg"",""name"":""t7.jpg"",""url"":""kttutoring\/content\/2022\/7\/814ec48a-708b-4fb3-af72-447336fe9c8c.jpg"",""type_code"":6}]",5,1,0,1,2022-07-19 23:41,3,2022-07-19 23:44
99,112,1,507,\0,\0,\0,\0,5,1,0,3,2022-07-19 23:44,3,2022-07-19 23:44
99,113,1,508,122,154,166,"[{""size"":38029,""mime_type"":""image\/jpeg"",""name"":""t5.jpg"",""url"":""kttutoring\/content\/2022\/7\/d57c0979-4e64-404d-af04-06428773fa94.jpg"",""type_code"":6}]",5,1,0,1,2022-07-20 9:32,3,2022-07-20 9:55
117,113,1,508,122,154,166,"[{""size"":38029,""mime_type"":""image\/jpeg"",""name"":""t5.jpg"",""url"":""kttutoring\/content\/2022\/7\/d57c0979-4e64-404d-af04-06428773fa94.jpg"",""type_code"":6}]",5,1,0,1,2022-07-20 9:32,3,2022-07-20 9:55
99,113,2,509,123,155,167,"[{""size"":23481,""mime_type"":""image\/jpeg"",""name"":""t2.jpg"",""url"":""kttutoring\/content\/2022\/7\/9e3ade25-f2aa-4857-b267-d961610d36b7.jpg"",""type_code"":6}]",5,1,0,1,2022-07-20 9:32,3,2022-07-20 9:55
117,113,2,509,123,155,167,"[{""size"":23481,""mime_type"":""image\/jpeg"",""name"":""t2.jpg"",""url"":""kttutoring\/content\/2022\/7\/9e3ade25-f2aa-4857-b267-d961610d36b7.jpg"",""type_code"":6}]",5,1,0,1,2022-07-20 9:32,3,2022-07-20 9:55
99,113,1,511,\0,\0,\0,\0,1,1,0,3,2022-07-20 9:33,3,2022-07-20 9:55
117,113,1,511,\0,\0,\0,\0,1,1,0,3,2022-07-20 9:33,3,2022-07-20 9:55
99,113,2,512,\0,\0,\0,\0,5,1,0,3,2022-07-20 9:55,3,2022-07-20 9:55
117,113,2,512,\0,\0,\0,\0,5,1,0,3,2022-07-20 9:55,3,2022-07-20 9:55
99,116,1,520,125,157,169,"[{""size"":19106,""mime_type"":""image\/jpeg"",""name"":""t9.jpg"",""url"":""kttutoring\/content\/2022\/7\/f8cd0fce-d442-46e7-a83b-0d29a47c2778.jpg"",""type_code"":6}]",5,1,0,1,2022-07-20 13:31,146,2022-07-26 13:18
99,116,2,521,126,158,170,"[{""size"":433870,""mime_type"":""image\/jpeg"",""name"":""t8.jpg"",""url"":""kttutoring\/content\/2022\/7\/bd3275c8-33fb-4044-b4fa-fc4a0a46e140.jpg"",""type_code"":6}]",5,1,0,1,2022-07-20 13:31,146,2022-07-26 13:18
99,116,3,522,127,159,171,"[{""size"":30720,""mime_type"":""image\/jpeg"",""name"":""t7.jpg"",""url"":""kttutoring\/content\/2022\/7\/a9242269-5a73-4cde-826d-5f2da5e94f1d.jpg"",""type_code"":6}]",5,1,0,1,2022-07-20 13:31,146,2022-07-26 13:18
99,116,1,523,\0,\0,\0,\0,5,1,0,3,2022-07-20 13:37,146,2022-07-26 13:18
99,116,2,524,\0,\0,\0,\0,5,1,0,3,2022-07-20 13:41,146,2022-07-26 13:18
99,116,3,525,\0,\0,\0,\0,5,1,0,146,2022-07-20 13:45,146,2022-07-26 13:18
99,116,4,561,\0,\0,\0,\0,5,1,0,146,2022-07-20 14:58,146,2022-07-26 13:18
99,116,5,594,\0,\0,\0,\0,5,1,0,146,2022-07-25 17:35,146,2022-07-26 13:18
99,116,6,595,\0,\0,\0,\0,5,1,0,146,2022-07-25 18:40,146,2022-07-26 13:18
99,116,7,603,\0,\0,\0,\0,5,1,0,146,2022-07-26 12:28,146,2022-07-26 13:18
99,116,8,607,\0,\0,\0,\0,5,1,0,146,2022-07-26 13:16,146,2022-07-26 13:18
140,118,1,526,128,160,172,"[{""size"":3464883,""mime_type"":""application\/pdf"",""name"":""우등생과학_1회차_매거진.pdf"",""url"":""kttutoring\/content\/2022\/7\/cabf79b3-f408-462a-bc66-439d9a1abe97.pdf"",""type_code"":6}]",5,1,0,49,2022-07-20 14:26,49,2022-07-20 14:26
140,118,2,527,129,161,173,"[{""size"":5061635,""mime_type"":""application\/pdf"",""name"":""우등생과학_2회차_매거진.pdf"",""url"":""kttutoring\/content\/2022\/7\/0a6862b3-9718-426b-a59a-7b50c2367b32.pdf"",""type_code"":6}]",5,1,0,49,2022-07-20 14:26,49,2022-07-20 14:26
140,118,3,528,130,162,174,"[{""size"":23374298,""mime_type"":""application\/pdf"",""name"":""우등생과학_3회차_매거진.pdf"",""url"":""kttutoring\/content\/2022\/7\/86b73157-d3d5-4a04-b268-f7ff10e44d45.pdf"",""type_code"":6}]",5,1,0,49,2022-07-20 14:26,49,2022-07-20 14:26
140,118,4,529,131,163,175,"[{""size"":773406,""mime_type"":""application\/pdf"",""name"":""우등생과학_4회차_매거진.pdf"",""url"":""kttutoring\/content\/2022\/7\/b5f1f7a9-275c-4b71-9735-023b5330eaf5.pdf"",""type_code"":6}]",5,1,0,49,2022-07-20 14:26,49,2022-07-20 14:26
140,119,1,533,132,164,176,"[{""size"":2712261,""mime_type"":""application\/pdf"",""name"":""솔루니_1회차_워크북.pdf"",""url"":""kttutoring\/content\/2022\/7\/3439cca4-e53c-49af-9f42-58044a29e8fd.pdf"",""type_code"":6}]",5,1,0,49,2022-07-20 14:27,49,2022-07-20 14:27
140,119,2,534,133,165,177,"[{""size"":2707561,""mime_type"":""application\/pdf"",""name"":""솔루니_2회차_워크북.pdf"",""url"":""kttutoring\/content\/2022\/7\/6d3f75ce-6051-46c6-a98a-3457189430fe.pdf"",""type_code"":6}]",5,1,0,49,2022-07-20 14:27,49,2022-07-20 14:27
140,119,3,535,134,166,178,"[{""size"":3212707,""mime_type"":""application\/pdf"",""name"":""솔루니_3회차_워크북.pdf"",""url"":""kttutoring\/content\/2022\/7\/7e4d913a-127b-4388-ba92-511a6c3f1b3e.pdf"",""type_code"":6}]",5,1,0,49,2022-07-20 14:27,49,2022-07-20 14:27
140,119,4,536,135,167,179,"[{""size"":3065303,""mime_type"":""application\/pdf"",""name"":""솔루니_4회차_워크북.pdf"",""url"":""kttutoring\/content\/2022\/7\/e1627ed2-7b3c-4b65-89c3-b09f0e618e95.pdf"",""type_code"":6}]",5,1,0,49,2022-07-20 14:27,49,2022-07-20 14:27
99,124,2,575,\0,\0,\0,\0,1,1,0,3,2022-07-22 17:23,3,2022-07-25 17:30
117,124,2,575,\0,\0,\0,\0,1,1,0,3,2022-07-22 17:23,3,2022-07-25 17:30
99,124,3,576,\0,\0,\0,\0,5,1,0,3,2022-07-22 20:09,3,2022-07-25 17:30
117,124,3,576,\0,\0,\0,\0,1,1,0,3,2022-07-22 20:09,3,2022-07-25 17:30
99,124,4,592,\0,\0,\0,\0,5,1,0,3,2022-07-25 17:01,3,2022-07-25 17:30
117,124,4,592,\0,\0,\0,\0,5,1,0,3,2022-07-25 17:01,3,2022-07-25 17:30
24,124,1,644,154,186,198,"[{""size"":51725,""mime_type"":""application\/vnd.openxmlformats-officedocument.presentationml.presentation"",""name"":""???????.pptx"",""url"":""kttutoring\/content\/2022\/8\/2dd71f1f-f874-4552-8c18-6d4028100366.pptx"",""type_code"":6}]",5,1,0,1,2022-08-01 15:39,1,2022-08-05 16:18
25,124,1,644,154,186,198,"[{""size"":51725,""mime_type"":""application\/vnd.openxmlformats-officedocument.presentationml.presentation"",""name"":""???????.pptx"",""url"":""kttutoring\/content\/2022\/8\/2dd71f1f-f874-4552-8c18-6d4028100366.pptx"",""type_code"":6}]",5,1,5,1,2022-08-01 15:39,1,2022-08-05 16:18
61,124,1,644,154,186,198,"[{""size"":51725,""mime_type"":""application\/vnd.openxmlformats-officedocument.presentationml.presentation"",""name"":""???????.pptx"",""url"":""kttutoring\/content\/2022\/8\/2dd71f1f-f874-4552-8c18-6d4028100366.pptx"",""type_code"":6}]",5,1,0,1,2022-08-01 15:39,1,2022-08-05 16:18
99,124,1,644,154,186,198,"[{""size"":51725,""mime_type"":""application\/vnd.openxmlformats-officedocument.presentationml.presentation"",""name"":""???????.pptx"",""url"":""kttutoring\/content\/2022\/8\/2dd71f1f-f874-4552-8c18-6d4028100366.pptx"",""type_code"":6}]",5,1,0,1,2022-08-01 15:39,1,2022-08-05 16:18
132,124,1,644,154,186,198,"[{""size"":51725,""mime_type"":""application\/vnd.openxmlformats-officedocument.presentationml.presentation"",""name"":""???????.pptx"",""url"":""kttutoring\/content\/2022\/8\/2dd71f1f-f874-4552-8c18-6d4028100366.pptx"",""type_code"":6}]",5,1,0,1,2022-08-01 15:39,1,2022-08-05 16:18
145,124,1,644,154,186,198,"[{""size"":51725,""mime_type"":""application\/vnd.openxmlformats-officedocument.presentationml.presentation"",""name"":""???????.pptx"",""url"":""kttutoring\/content\/2022\/8\/2dd71f1f-f874-4552-8c18-6d4028100366.pptx"",""type_code"":6}]",5,1,5,1,2022-08-01 15:39,1,2022-08-05 16:18
170,124,1,644,154,186,198,"[{""size"":51725,""mime_type"":""application\/vnd.openxmlformats-officedocument.presentationml.presentation"",""name"":""???????.pptx"",""url"":""kttutoring\/content\/2022\/8\/2dd71f1f-f874-4552-8c18-6d4028100366.pptx"",""type_code"":6}]",5,1,0,1,2022-08-01 15:39,1,2022-08-05 16:18
