tutor_user_idx,course_id,course_class_id,course_class_seq_id,plan_id,start_date,end_date,registered_by_user_idx,registered_date,last_modified_by_user_idx,last_modified_date
47,51,89,309,200800,2022-07-14 0:00,2022-07-14 23:59,116,2022-07-14 21:36,116,2022-07-14 21:36
146,90,154,465,200822,2022-07-18 15:50,2022-07-18 16:00,146,2022-07-18 15:46,146,2022-07-18 15:46
6,92,152,454,200818,2022-07-18 15:30,2022-07-18 15:40,6,2022-07-18 15:13,6,2022-07-18 15:13
6,92,152,455,200819,2022-07-18 15:45,2022-07-18 16:00,6,2022-07-18 15:14,6,2022-07-18 15:14
6,92,152,456,200820,2022-07-18 16:02,2022-07-18 16:15,6,2022-07-18 15:15,6,2022-07-18 15:15
6,92,152,457,200821,2022-07-18 16:30,2022-07-18 16:50,6,2022-07-18 15:15,6,2022-07-18 15:15
47,94,160,477,200824,2022-07-19 10:30,2022-07-19 10:40,47,2022-07-19 10:30,47,2022-07-19 10:30
47,94,161,478,200825,2022-07-19 10:45,2022-07-19 10:55,47,2022-07-19 10:42,47,2022-07-19 10:42
47,94,168,479,200827,2022-07-19 11:15,2022-07-19 11:25,47,2022-07-19 10:56,47,2022-07-19 10:56
47,98,169,480,200828,2022-07-19 11:35,2022-07-19 11:45,47,2022-07-19 11:04,47,2022-07-19 11:04
47,101,173,483,200830,2022-07-19 11:55,2022-07-19 12:05,47,2022-07-19 11:54,47,2022-07-19 11:54
47,102,175,486,200831,2022-07-19 12:20,2022-07-19 12:30,47,2022-07-19 12:02,47,2022-07-19 12:02
47,106,179,492,200834,2022-07-19 13:18,2022-07-19 13:28,47,2022-07-19 13:16,47,2022-07-19 13:16
6,107,183,502,200835,2022-07-19 15:00,2022-07-19 15:50,49,2022-07-19 13:57,49,2022-07-19 13:57
6,107,183,503,200836,2022-07-19 16:00,2022-07-19 16:59,49,2022-07-19 13:58,49,2022-07-19 13:58
3,112,188,507,200849,2022-07-19 23:48,2022-07-19 23:59,3,2022-07-19 23:44,3,2022-07-19 23:44
3,113,189,511,200854,2022-07-20 10:00,2022-07-20 11:00,3,2022-07-20 9:33,3,2022-07-20 9:33
3,113,189,512,200855,2022-07-20 12:00,2022-07-20 13:00,3,2022-07-20 9:55,3,2022-07-20 9:55
146,116,192,523,200862,2022-07-20 14:00,2022-07-20 14:20,3,2022-07-20 13:37,3,2022-07-20 13:37
146,116,192,524,200864,2022-07-20 14:20,2022-07-20 14:40,3,2022-07-20 13:41,3,2022-07-20 13:41
146,116,192,525,200865,2022-07-20 13:50,2022-07-20 14:10,146,2022-07-20 13:45,146,2022-07-20 13:45
146,116,192,561,200868,2022-07-20 15:00,2022-07-20 16:00,146,2022-07-20 14:58,146,2022-07-20 14:58
146,116,192,594,200971,2022-07-25 18:00,2022-07-25 18:30,146,2022-07-25 17:35,146,2022-07-25 17:35
146,116,192,595,200975,2022-07-25 18:50,2022-07-25 19:10,146,2022-07-25 18:40,146,2022-07-25 18:40
146,116,192,603,200985,2022-07-26 1:00,2022-07-26 1:30,146,2022-07-26 12:28,146,2022-07-26 12:28
146,116,192,607,200990,2022-07-26 17:00,2022-07-26 17:30,146,2022-07-26 13:16,146,2022-07-26 13:16
3,124,201,575,200938,2022-07-22 17:00,2022-07-22 19:00,3,2022-07-22 17:23,3,2022-07-22 17:23
3,124,201,576,200944,2022-07-22 20:00,2022-07-22 21:00,3,2022-07-22 20:09,3,2022-07-22 20:09
3,124,201,592,200969,2022-07-25 17:00,2022-07-25 18:00,3,2022-07-25 17:01,3,2022-07-25 17:01
64,124,241,646,201184,2022-08-05 3:00,2022-08-05 3:30,1,2022-08-02 12:41,1,2022-08-02 12:41
64,124,241,649,201189,2022-08-21 1:00,2022-08-21 1:30,1,2022-08-02 13:06,1,2022-08-02 13:06
64,124,241,651,201276,2022-08-03 1:00,2022-08-03 2:00,1,2022-08-03 16:52,1,2022-08-03 16:52
47,125,202,574,200931,2022-07-22 15:35,2022-07-22 15:45,47,2022-07-22 15:31,47,2022-07-22 15:31
47,127,205,578,200951,2022-07-25 10:15,2022-07-25 10:25,47,2022-07-25 10:13,47,2022-07-25 10:13
47,128,206,579,200959,2022-07-25 13:20,2022-07-25 13:30,148,2022-07-25 13:12,148,2022-07-25 13:12
47,128,206,583,200962,2022-07-26 0:00,2022-07-26 23:59,148,2022-07-25 14:21,148,2022-07-25 14:21
47,136,217,591,200968,2022-07-25 16:56,2022-07-25 17:06,47,2022-07-25 16:55,47,2022-07-25 16:55
47,136,218,653,201283,2022-08-03 4:00,2022-08-03 4:30,1,2022-08-03 17:51,1,2022-08-03 17:52
148,137,223,597,200980,2022-07-26 10:30,2022-07-26 11:00,148,2022-07-26 10:33,148,2022-07-26 10:33
148,137,223,599,200982,2022-07-26 11:30,2022-07-26 12:00,56,2022-07-26 10:52,56,2022-07-26 10:52
148,137,223,609,200993,2022-07-26 13:30,2022-07-26 14:00,148,2022-07-26 13:40,148,2022-07-26 13:40
148,137,223,610,200994,2022-07-26 14:00,2022-07-26 14:30,148,2022-07-26 13:41,148,2022-07-26 13:41
148,137,223,620,200997,2022-07-26 15:30,2022-07-26 16:00,51,2022-07-26 15:09,51,2022-07-26 15:09
47,138,224,602,200983,2022-07-26 11:30,2022-07-26 12:00,47,2022-07-26 11:24,47,2022-07-26 11:24
