"tutor_user_idx","student_user_idx","course_id","course_class_id","community_write","community_reply","community_click_like_cnt","registered_by_user_idx","registered_date","last_modified_by_user_idx","last_modified_date"
"6","99","71","141","0","0","0","99","2022-07-18 17:18:44","99","2022-07-18 17:18:44"
"146","99","90","154","0","0","0","99","2022-07-18 15:51:31","99","2022-07-18 15:51:31"
"6","99","92","152","0","0","0","99","2022-07-18 15:48:22","99","2022-07-18 15:48:22"
"6","140","92","152","1","0","0","140","2022-07-18 15:21:32","140","2022-07-18 15:21:32"
"47","69","94","160","0","0","0","69","2022-07-19 10:36:12","69","2022-07-19 10:36:12"
"47","69","94","161","0","0","0","69","2022-07-19 10:45:38","69","2022-07-19 10:45:38"
"47","69","94","168","0","0","0","69","2022-07-19 10:49:51","69","2022-07-19 10:49:51"
"47","69","98","169","0","0","0","69","2022-07-19 11:02:30","69","2022-07-19 11:02:30"
"47","69","101","173","0","0","0","69","2022-07-19 11:51:29","69","2022-07-19 11:51:29"
"47","69","102","175","0","0","0","69","2022-07-19 12:01:35","69","2022-07-19 12:01:35"
"142","99","105","178","0","0","0","99","2022-07-19 20:48:47","99","2022-07-19 20:48:47"
"142","101","105","178","0","0","0","101","2022-07-22 15:00:21","101","2022-07-22 15:02:11"
"142","109","105","178","1","0","0","109","2022-07-26 16:26:19","109","2022-07-26 16:26:19"
"142","156","105","178","0","0","0","156","2022-07-21 14:56:27","156","2022-07-21 14:56:27"
"47","69","106","179","0","0","0","69","2022-07-19 13:17:12","69","2022-07-19 13:17:12"
"64","74","108","186","0","0","0","62","2022-07-21 11:29:55","62","2022-07-21 11:29:55"
"3","99","112","188","0","0","0","99","2022-07-19 23:42:54","99","2022-07-19 23:42:54"
"3","99","113","189","0","0","0","99","2022-07-20 09:36:23","99","2022-07-20 09:36:23"
"3","117","113","189","0","0","0","117","2022-07-20 09:44:04","117","2022-07-20 09:44:04"
"146","99","116","192","0","0","0","99","2022-07-20 15:04:59","99","2022-07-20 15:04:59"
"6","140","118","193","0","0","0","140","2022-07-20 15:46:05","140","2022-07-20 15:46:05"
"6","140","119","194","0","0","0","140","2022-07-20 15:47:31","140","2022-07-20 15:47:31"
"3","99","124","201","0","0","1","99","2022-07-22 17:30:45","99","2022-07-22 17:30:45"
"3","117","124","201","0","0","0","117","2022-07-22 17:31:25","117","2022-07-22 17:31:25"
"64","24","124","241","0","0","0","1","2022-08-05 15:02:57","1","2022-08-05 15:02:57"
"64","25","124","241","0","0","0","1","2022-08-05 15:11:24","1","2022-08-05 15:11:24"
"64","61","124","241","0","0","0","61","2022-08-03 21:53:18","61","2022-08-03 21:53:18"
"64","99","124","241","0","0","0","99","2022-08-01 10:05:02","99","2022-08-01 10:05:02"
"64","132","124","241","0","0","0","132","2022-08-01 10:29:27","132","2022-08-01 10:29:27"
"64","145","124","241","0","0","0","1","2022-08-08 10:22:08","1","2022-08-08 16:43:19"
"64","170","124","241","0","0","0","1","2022-08-07 12:29:25","1","2022-08-07 12:29:25"
"47","69","125","202","0","0","0","69","2022-07-22 15:33:23","69","2022-07-22 15:33:23"
"47","69","127","205","0","0","0","69","2022-07-25 10:12:23","69","2022-07-25 10:12:23"
"47","42","128","206","0","0","0","56","2022-07-25 13:20:49","56","2022-07-25 13:20:49"
"148","101","129","210","0","0","0","101","2022-07-25 14:56:37","101","2022-07-25 14:56:37"
"47","69","136","217","0","0","0","69","2022-07-25 16:54:58","69","2022-07-25 16:54:58"
"148","101","137","223","0","0","0","101","2022-07-26 10:36:26","101","2022-07-26 10:36:26"
"47","69","138","224","0","0","0","69","2022-07-26 11:22:54","69","2022-07-26 11:22:54"
"286","287","143","340","0","0","0","284","2022-09-13 16:54:54","284","2022-09-13 16:54:54"
"47","109","144","232","0","0","0","109","2022-07-27 12:58:01","109","2022-07-27 12:58:01"
"47","160","144","232","0","0","0","160","2022-07-27 18:45:41","160","2022-07-27 18:45:41"
"46","101","145","236","0","0","0","101","2022-07-28 15:19:31","101","2022-07-28 15:19:31"
"148","99","146","234","0","0","0","1","2022-08-05 17:55:37","99","2022-08-05 18:24:44"
"47","69","147","237","0","0","0","69","2022-07-28 15:32:48","69","2022-07-28 15:32:48"
"47","99","147","237","13","1","1","99","2022-08-06 22:55:48","99","2022-08-06 22:55:48"
"47","156","147","237","0","0","0","1","2022-08-18 15:48:59","1","2022-08-18 15:48:59"
"47","170","147","237","0","0","0","170","2022-08-06 21:02:41","170","2022-08-06 21:02:41"
"47","69","147","239","0","0","0","69","2022-07-28 15:36:22","69","2022-07-28 15:36:22"
"47","101","147","239","0","0","0","101","2022-07-28 15:53:23","101","2022-07-28 15:53:23"
"47","69","148","240","0","0","0","69","2022-07-28 17:29:48","69","2022-07-28 17:29:48"
"47","99","148","240","0","0","0","1","2022-08-05 17:40:26","1","2022-08-05 17:40:26"
"200","198","149","253","0","0","0","198","2022-08-11 16:08:48","198","2022-08-11 16:08:48"
"200","201","149","253","0","0","0","201","2022-08-11 16:09:13","201","2022-08-11 16:09:13"
