"tutor_user_idx","student_user_idx","course_id","course_class_id","course_class_seq_id","quiz_submit_ratio","quiz_solving_cnt","quiz_solving_time","registered_by_user_idx","registered_date","last_modified_by_user_idx","last_modified_date"
"146","99","90","154","465","1.0000","2","0.0000","146","2022-07-18 15:46:25","146","2022-07-18 15:46:25"
"6","99","92","152","454",\0,\0,\0,"6","2022-07-18 15:13:42","6","2022-07-18 15:13:42"
"6","99","92","152","455",\0,\0,\0,"6","2022-07-18 15:14:39","6","2022-07-18 15:14:39"
"6","99","92","152","456",\0,\0,\0,"6","2022-07-18 15:15:10","6","2022-07-18 15:15:10"
"6","99","92","152","457",\0,\0,\0,"6","2022-07-18 15:15:37","6","2022-07-18 15:15:37"
"6","140","92","152","454",\0,\0,\0,"6","2022-07-18 15:13:42","6","2022-07-18 15:13:42"
"6","140","92","152","455",\0,\0,\0,"6","2022-07-18 15:14:39","6","2022-07-18 15:14:39"
"6","140","92","152","456",\0,\0,\0,"6","2022-07-18 15:15:10","6","2022-07-18 15:15:10"
"6","140","92","152","457",\0,\0,\0,"6","2022-07-18 15:15:37","6","2022-07-18 15:15:37"
"47","69","94","160","477",\0,\0,\0,"47","2022-07-19 10:30:20","47","2022-07-19 10:30:20"
"47","69","94","161","478",\0,\0,\0,"47","2022-07-19 10:42:01","47","2022-07-19 10:42:01"
"47","69","94","168","479",\0,\0,\0,"47","2022-07-19 10:56:10","47","2022-07-19 10:56:10"
"47","69","98","169","480",\0,\0,\0,"47","2022-07-19 11:04:50","47","2022-07-19 11:04:50"
"47","69","101","173","483",\0,\0,\0,"47","2022-07-19 11:54:31","47","2022-07-19 11:54:35"
"47","69","102","175","486",\0,\0,\0,"47","2022-07-19 12:02:42","47","2022-07-19 12:02:42"
"47","69","106","179","492","1.0000","2","0.0000","47","2022-07-19 13:16:33","47","2022-07-19 13:16:33"
"3","99","112","188","507","1.0000","4","0.0000","3","2022-07-19 23:44:42","3","2022-07-19 23:44:42"
"3","99","113","189","511","1.0000","4","0.0000","3","2022-07-20 09:33:58","3","2022-07-20 09:33:58"
"3","99","113","189","512",\0,\0,\0,"3","2022-07-20 09:55:19","3","2022-07-20 09:55:19"
"3","117","113","189","511","1.0000","4","0.0000","3","2022-07-20 09:33:58","3","2022-07-20 09:33:58"
"3","117","113","189","512",\0,\0,\0,"3","2022-07-20 09:55:19","3","2022-07-20 09:55:19"
"146","99","116","192","523",\0,\0,\0,"3","2022-07-20 13:37:10","3","2022-07-20 13:37:10"
"146","99","116","192","524",\0,\0,\0,"3","2022-07-20 13:41:41","3","2022-07-20 13:41:41"
"146","99","116","192","525",\0,\0,\0,"146","2022-07-20 13:45:25","146","2022-07-20 13:45:25"
"146","99","116","192","561",\0,\0,\0,"146","2022-07-20 14:58:20","146","2022-07-20 14:58:20"
"146","99","116","192","594",\0,\0,\0,"146","2022-07-25 17:35:37","146","2022-07-25 17:35:37"
"146","99","116","192","595",\0,\0,\0,"146","2022-07-25 18:40:59","146","2022-07-25 18:40:59"
"146","99","116","192","603",\0,\0,\0,"146","2022-07-26 12:28:10","146","2022-07-26 12:28:10"
"146","99","116","192","607",\0,\0,\0,"146","2022-07-26 13:16:32","146","2022-07-26 13:16:32"
"3","99","124","201","575",\0,\0,\0,"3","2022-07-22 17:23:58","3","2022-07-22 17:23:58"
"3","99","124","201","576",\0,\0,\0,"3","2022-07-22 20:09:28","3","2022-07-22 20:09:28"
"3","99","124","201","592",\0,\0,\0,"3","2022-07-25 17:01:27","3","2022-07-25 17:01:27"
"3","117","124","201","575",\0,\0,\0,"3","2022-07-22 17:23:58","3","2022-07-22 17:23:58"
"3","117","124","201","576",\0,\0,\0,"3","2022-07-22 20:09:28","3","2022-07-22 20:09:28"
"3","117","124","201","592",\0,\0,\0,"3","2022-07-25 17:01:27","3","2022-07-25 17:01:27"
"64","24","124","241","646",\0,\0,\0,"1","2022-08-02 12:41:48","1","2022-08-02 12:41:48"
"64","24","124","241","649",\0,\0,\0,"1","2022-08-02 13:06:31","1","2022-08-02 13:06:31"
"64","24","124","241","651",\0,\0,\0,"1","2022-08-03 16:52:16","1","2022-08-03 16:52:16"
"64","25","124","241","646",\0,\0,\0,"1","2022-08-02 12:41:48","1","2022-08-02 12:41:48"
"64","25","124","241","649",\0,\0,\0,"1","2022-08-02 13:06:31","1","2022-08-02 13:06:31"
"64","25","124","241","651",\0,\0,\0,"1","2022-08-03 16:52:16","1","2022-08-03 16:52:16"
"64","61","124","241","646",\0,\0,\0,"1","2022-08-02 12:41:48","1","2022-08-02 12:41:48"
"64","61","124","241","649",\0,\0,\0,"1","2022-08-02 13:06:31","1","2022-08-02 13:06:31"
"64","61","124","241","651",\0,\0,\0,"1","2022-08-03 16:52:16","1","2022-08-03 16:52:16"
"64","99","124","241","646",\0,\0,\0,"1","2022-08-02 12:41:48","1","2022-08-02 12:41:48"
