tutor_user_idx,student_user_idx,course_id,course_class_id,course_class_seq_id,tutor_class_prgr_yn,community_feedback,satisfaction_score,student_avg_score,dropout_student_yn,student_satisfaction_score,parents_satisfaction_score,student_participate_level,student_avg_participate_level,registered_by_user_idx,registered_date,last_modified_by_user_idx,last_modified_date
146,99,90,154,465,1,23132,\0,25,0,\0,\0,0,1,146,2022-07-18 15:46,146,2022-07-18 15:46
146,140,90,154,465,1,\0,\0,25,0,\0,\0,0,1,146,2022-07-18 15:46,146,2022-07-18 15:46
6,99,92,152,454,0,첨지는 오늘 참석하지 못했어요ㅜ 다음 수업은 꼭 참여할 수 있길 바래요 첨지야 다음주에 보자!,\0,\0,0,\0,\0,\0,\0,6,2022-07-18 15:13,49,2022-07-18 15:21
6,140,92,152,454,0,재이 학생 오늘 너무너무 잘 했어요! 최고재이야 오늘 정말 멋졌어! 최고!!,\0,\0,0,\0,\0,\0,\0,6,2022-07-18 15:13,49,2022-07-18 15:21
6,99,92,152,455,1,발표력이 좋아요오늘 발표 참 잘했어요,\0,\0,0,\0,\0,0,1,6,2022-07-18 15:14,49,2022-07-18 15:21
6,140,92,152,455,1,경청하는 자세가 참 훌륭해요천천히 이야기 해도 괜찮아요 ! 오늘도 고생했어요,\0,\0,0,\0,\0,0,1,6,2022-07-18 15:14,49,2022-07-18 15:21
6,99,92,152,456,0,\0,\0,\0,0,\0,\0,\0,\0,6,2022-07-18 15:15,49,2022-07-18 15:21
6,140,92,152,456,0,\0,\0,\0,0,\0,\0,\0,\0,6,2022-07-18 15:15,49,2022-07-18 15:21
6,99,92,152,457,0,다음번 수업에는 꼭 참석해주세요 다음주에 보자!,\0,\0,0,\0,\0,\0,\0,6,2022-07-18 15:15,49,2022-07-18 15:21
6,140,92,152,457,0,멋져멋져오늘도 참 잘했어요!!,\0,\0,0,\0,\0,\0,\0,6,2022-07-18 15:15,49,2022-07-18 15:21
47,69,94,160,477,0,\0,\0,\0,0,\0,\0,\0,\0,47,2022-07-19 10:30,105,2022-07-19 22:59
47,69,94,161,478,0,\0,\0,\0,0,\0,\0,\0,\0,47,2022-07-19 10:42,47,2022-07-19 10:42
47,69,94,168,479,0,\0,\0,\0,0,\0,\0,\0,\0,47,2022-07-19 10:56,105,2022-07-19 23:15
47,69,98,169,480,0,\0,\0,\0,0,\0,\0,\0,\0,47,2022-07-19 11:04,47,2022-07-19 11:04
47,69,101,173,483,0,\0,\0,\0,0,\0,\0,\0,\0,47,2022-07-19 11:54,47,2022-07-19 11:54
47,69,102,175,486,0,\0,\0,\0,0,\0,\0,\0,\0,47,2022-07-19 12:02,47,2022-07-19 12:02
47,69,106,179,492,1,부모 피드백학습 피백,\0,50,0,\0,\0,0,1,47,2022-07-19 13:16,47,2022-07-19 13:16
3,99,112,188,507,1,\0,\0,0,0,\0,\0,0,1,3,2022-07-19 23:44,3,2022-07-19 23:44
3,99,113,189,511,1,\0,\0,6.25,0,\0,\0,0,1,3,2022-07-20 9:33,3,2022-07-20 9:55
3,117,113,189,511,1,\0,\0,6.25,0,\0,\0,0,1,3,2022-07-20 9:33,3,2022-07-20 9:55
3,99,113,189,512,0,\0,\0,\0,0,\0,\0,\0,\0,3,2022-07-20 9:55,3,2022-07-20 9:55
3,117,113,189,512,0,\0,\0,\0,0,\0,\0,\0,\0,3,2022-07-20 9:55,3,2022-07-20 9:55
146,99,116,192,523,0,\0,\0,\0,0,\0,\0,\0,1,3,2022-07-20 13:37,146,2022-07-26 13:18
146,99,116,192,524,0,\0,\0,\0,0,\0,\0,\0,\0,3,2022-07-20 13:41,146,2022-07-26 13:18
146,99,116,192,525,0,\0,\0,\0,0,\0,\0,\0,\0,146,2022-07-20 13:45,146,2022-07-26 13:18
146,99,116,192,561,0,\0,\0,\0,0,\0,\0,\0,\0,146,2022-07-20 14:58,146,2022-07-26 13:18
146,99,116,192,594,0,\0,\0,\0,0,\0,\0,\0,\0,146,2022-07-25 17:35,146,2022-07-26 13:18
146,99,116,192,595,0,\0,\0,\0,0,\0,\0,\0,\0,146,2022-07-25 18:40,146,2022-07-26 13:18
146,99,116,192,603,0,\0,\0,\0,0,\0,\0,\0,\0,146,2022-07-26 12:28,146,2022-07-26 13:18
146,99,116,192,607,0,\0,\0,\0,0,\0,\0,\0,\0,146,2022-07-26 13:16,146,2022-07-26 13:18
3,99,124,201,575,1,\0,4,\0,0,\0,4,0,1,3,2022-07-22 17:23,3,2022-07-25 17:30
