major,major_code
컴퓨터공학과,569
컴퓨터과학과,570
컴퓨터디자인학과,575
컴퓨터소프트웨어과,578
컴퓨터응용기계과,579
성악과,283
실용음악과,113
실용음악학과,329
음악과,395
음악학과,396
작곡과,452
전기공학과,459
전기과,461
전기전자공학과,463
전기전자과,464
전자공학과,469
전자과,470
농수산과,106
농업경제학과,107
농업교육과,108
축산과,556
광고디자인과,51
산업디자인과,252
간호학과,10
경제학과,25
고고학과,29
금속공학과,79
기계공학과,86
도시계획학과,117
도시공학과,118
문화인류학과,424
문화재과,169
반도체학과,195
법학과,203
부동산과,220
부동산학과,221
사학과,236
산업공학과,250
세라믹공학과,285
신소재공학과,324
재료공학과,456
지역개발학과,533
회계학과,662
방송연예과,354
연극영화과,351
연극영화학과,352
건축공학과,17
금형설계과,85
산업설비자동화과,10050
건축공학과,17
건축과,18
건축학과,20
토목공학과,588
토목과,590
건축공학과,17
건축과,18
건축학과,20
도시건설과,13
토목공학과,588
토목과,590
기계공학과,86
기계과,87
전기공학과,459
전기과,461
전기전자공학과,463
전기전자과,464
제어계측공학과,495
제어계측과,496
건축공학과,17
건축과,18
건축학과,20
건축공학과,17
건축과,18
건축학과,20
실내디자인과,10018
실내디자인학과,10024
법학과,203
응용소프트웨어공학과,10117
전자공학과,469
정보통신공학과,490
컴퓨터공학과,569
경찰행정과,26
경찰행정학과,27
경호스포츠과,28
경호학과,10041
경영학과,23
경제학과,25
교육학과,59
국제통상학과,70
무역학과,72
법학과,203
산업공학과,250
세무학과,286
심리학과,330
회계학과,662
경제학과,25
농업경제학과,107
경찰행정학과,27
법학과,203
해양경찰학과,630
경찰행정과,26
경찰행정학과,27
경호스포츠과,28
무용과,160
무용학과,162
법학과,203
사회체육과,241
사회체육학과,242
체육학과,552
행정학과,639
컴퓨터공학과,569
컴퓨터과학과,570
통계학과,591
농수산과,106
식물자원학과,450
공예과,38
공예디자인학과,39
공예학과,41
금속공예과,77
금속공예학과,78
도자기공예과,120
산업디자인과,252
산업디자인학과,253
기계공학과,86
기계설계공학과,88
농수산과,106
식물자원학과,450
원예과,382
원예학과,383
경영학과,23
경제학과,25
독어독문학과,122
러시아어문학과,132
무역학과,72
법학과,203
불어불문학과,226
세무학과,286
세무회계과,287
수학과,298
스페인어학과,303
영어과,364
영어영문학과,366
영어학과,367
유럽ㆍ기타어과,131
일본어과,432
일어일문학과,436
중국어과,514
중어중문학과,520
통계학과,591
회계학과,662
경영학과,23
광고기획과,50
광고홍보학과,54
신문방송학과,322
심리학과,330
언론홍보학과,344
광고기획과,50
광고홍보학과,54
신문방송학과,322
심리학과,330
광고디자인과,51
디지털디자인과,574
시각디자인과,308
시각디자인학과,309
컴퓨터디자인학과,575
경찰행정과,26
경찰행정학과,27
교육학과,59
법학과,203
사회복지과,239
사회복지상담과,257
사회복지학과,240
심리학과,330
행정학과,639
교육공학과,57
교육학과,59
과학교육과,44
교육학과,59
국어교육과,68
독일어교육과,123
물리교육과,174
미술교육과,183
불어교육과,225
생물교육과,263
수학교육과,299
역사교육과,350
윤리교육과,63
일반사회교육과,431
지구과학교육과,522
지리교육과,526
체육교육과,551
초등교육과,554
한문교육과,615
