major,subject_category,subject_details
컴퓨터공학과,공통과목,"수학, 과학, 기술ㆍ가정"
컴퓨터공학과,일반선택과목,"수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계, 과학교과 : 물리학Ⅰ, 화학Ⅰ, 기술ㆍ가정교과 : 기술ㆍ가정, 정보"
컴퓨터공학과,진로선택과목,"실용수학, 기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 공학 일반"
컴퓨터공학과,전문교과Ⅰ,"심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제 연구"
컴퓨터공학과,전문교과Ⅱ,"디지털 논리 회로, 프로그래밍, 자료구조, 사물 인터넷 서비스 기획, 로봇 지능 개발"
컴퓨터과학과,공통과목,"수학, 과학, 기술ㆍ가정"
컴퓨터과학과,일반선택과목,"수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계, 과학교과 : 물리학Ⅰ, 화학Ⅰ, 기술ㆍ가정교과 : 기술ㆍ가정, 정보"
컴퓨터과학과,진로선택과목,"실용수학, 기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 공학 일반"
컴퓨터과학과,전문교과Ⅰ,"심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제 연구"
컴퓨터과학과,전문교과Ⅱ,"디지털 논리 회로, 프로그래밍, 자료구조, 사물 인터넷 서비스 기획, 로봇 지능 개발"
컴퓨터디자인학과,공통과목,"미술, 윤리"
컴퓨터디자인학과,일반선택과목,"예술교과 : 미술, 사회교과 : 생활과 윤리, 윤리와 사상, 교양교과 : 철학, 심리학, 교육학"
컴퓨터디자인학과,진로선택과목,"미술 창작, 미술 감상과 비평"
컴퓨터디자인학과,전문교과Ⅰ,"미술 이론, 미술사, 드로잉, 미술 전공 실기"
컴퓨터디자인학과,전문교과Ⅱ,"디자인 일반, 시각 디자인, 색채 관리"
컴퓨터소프트웨어과,공통과목,"수학, 과학, 기술ㆍ가정"
컴퓨터소프트웨어과,일반선택과목,"수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계, 사회교과 : 한국지리, 세계지리, 경제, 사회문화, 생활과 윤리 , 과학교과 : 물리학Ⅰ, 기술ㆍ가정교과 : 기술ㆍ가정, 정보"
컴퓨터소프트웨어과,진로선택과목,"실용수학, 기하, 수학과제 탐구, 물리학Ⅱ, 생활과 과학, 융합과학, 공학 일반"
컴퓨터소프트웨어과,전문교과Ⅰ,"심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 정보과학, 융합과학탐구, 과학과제연구, 지역 이해, 사회탐구 방법, 사회과제 연구"
컴퓨터소프트웨어과,전문교과Ⅱ,"프로그래밍, 자료 구조, 빅데이터 분석, 사물 인터넷 서비스 기획"
컴퓨터응용기계과,공통과목,"수학, 과학, 기술ㆍ가정"
컴퓨터응용기계과,일반선택과목,"수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계, 과학교과 : 물리학Ⅰ, 화학Ⅰ, 기술ㆍ가정교과 : 기술ㆍ가정, 정보"
컴퓨터응용기계과,진로선택과목,"실용수학, 기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 공학 일반"
컴퓨터응용기계과,전문교과Ⅰ,"심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제연구"
컴퓨터응용기계과,전문교과Ⅱ,"디지털 논리 회로, 프로그래밍, 자료구조, 사물 인터넷 서비스 기획, 로봇 지능 개발"
성악과,공통과목,"음악, 윤리"
성악과,일반선택과목,"예술교과 : 음악, 사회교과 : 생활과 윤리, 윤리와 사상, 교양교과 : 철학, 심리학, 교육학"
성악과,진로선택과목,"음악 연주, 음악 감상과 비평"
성악과,전문교과Ⅰ,"음악이론, 음악사, 시창ㆍ청음, 음악 전공 실기"
성악과,전문교과Ⅱ,음악 콘텐츠 제작 
실용음악과,공통과목,"음악, 윤리"
실용음악과,일반선택과목,"예술교과 : 음악, 사회교과 : 생활과 윤리, 윤리와 사상, 교양교과 : 철학, 심리학, 교육학"
실용음악과,진로선택과목,"음악 연주, 음악 감상과 비평"
실용음악과,전문교과Ⅰ,"음악이론, 음악사, 시창ㆍ청음, 음악 전공 실기"
실용음악과,전문교과Ⅱ,음악 콘텐츠 제작 
실용음악학과,공통과목,"음악, 윤리"
실용음악학과,일반선택과목,"예술교과 : 음악, 사회교과 : 생활과 윤리, 윤리와 사상, 교양교과 : 철학, 심리학, 교육학"
실용음악학과,진로선택과목,"음악 연주, 음악 감상과 비평"
실용음악학과,전문교과Ⅰ,"음악이론, 음악사, 시창ㆍ청음, 음악 전공 실기"
실용음악학과,전문교과Ⅱ,음악 콘텐츠 제작 
음악과,공통과목,"음악, 윤리"
음악과,일반선택과목,"예술교과 : 음악, 사회교과 : 생활과 윤리, 윤리와 사상, 교양교과 : 철학, 심리학, 교육학"
음악과,진로선택과목,"음악 연주, 음악 감상과 비평"
음악과,전문교과Ⅰ,"음악이론, 음악사, 시창ㆍ청음, 음악 전공 실기"
음악과,전문교과Ⅱ,음악 콘텐츠 제작 
음악학과,공통과목,"음악, 윤리"
음악학과,일반선택과목,"예술교과 : 음악, 사회교과 : 생활과 윤리, 윤리와 사상, 교양교과 : 철학, 심리학, 교육학"
음악학과,진로선택과목,"음악 연주, 음악 감상과 비평"
음악학과,전문교과Ⅰ,"음악이론, 음악사, 시창ㆍ청음, 음악 전공 실기"
음악학과,전문교과Ⅱ,음악 콘텐츠 제작 
작곡과,공통과목,"음악, 윤리"
작곡과,일반선택과목,"예술교과 : 음악, 사회교과 : 생활과 윤리, 윤리와 사상, 교양교과 : 철학, 심리학, 교육학"
작곡과,진로선택과목,"음악 연주, 음악 감상과 비평"
작곡과,전문교과Ⅰ,"음악이론, 음악사, 시창ㆍ청음, 음악 전공 실기"
작곡과,전문교과Ⅱ,음악 콘텐츠 제작 
전기공학과,공통과목,"수학, 과학, 기술ㆍ가정"
전기공학과,일반선택과목,"수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계, 과학교과 : 물리학Ⅰ, 화학Ⅰ, 기술ㆍ가정교과 : 기술ㆍ가정, 정보"
전기공학과,진로선택과목,"기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 융합과학, 공학 일반"
전기공학과,전문교과Ⅰ,"심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제연구"
전기공학과,전문교과Ⅱ,"전기회로, 전기 기기, 전기 설비, 자동화 설비"
전기과,공통과목,"수학, 과학, 기술ㆍ가정"
전기과,일반선택과목,"수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계, 과학교과 : 물리학Ⅰ, 화학Ⅰ, 기술ㆍ가정교과 : 기술ㆍ가정, 정보"
전기과,진로선택과목,"기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 융합과학, 공학일반"
전기과,전문교과Ⅰ,"심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제연구"
전기과,전문교과Ⅱ,"전기 회로, 전기 기기, 전기 설비, 자동화 설비"
전기전자공학과,공통과목,"수학, 과학, 기술ㆍ가정"
전기전자공학과,일반선택과목,"수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계, 과학교과 : 물리학Ⅰ, 화학Ⅰ, 기술ㆍ가정교과 : 기술ㆍ가정, 정보"
전기전자공학과,진로선택과목,"기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 융합과학, 공학 일반"
전기전자공학과,전문교과Ⅰ,"심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제연구"
전기전자공학과,전문교과Ⅱ,"전자 회로, 디지털 논리 회로, 산업용 전자 기기 소프트웨어 개발"
전기전자과,공통과목,"수학, 과학, 기술ㆍ가정"
전기전자과,일반선택과목,"수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계, 과학교과 : 물리학Ⅰ, 화학Ⅰ, 기술ㆍ가정교과 : 기술ㆍ가정, 정보"
전기전자과,진로선택과목,"기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 융합과학, 공학일반"
전기전자과,전문교과Ⅰ,"심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제연구"
전기전자과,전문교과Ⅱ,"전기 회로, 전기 기기, 전기 설비, 자동화 설비"
전자공학과,공통과목,"수학, 과학, 기술ㆍ가정"
전자공학과,일반선택과목,"수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계, 과학교과 : 물리학Ⅰ, 화학Ⅰ, 기술ㆍ가정교과 : 기술ㆍ가정, 정보"
전자공학과,진로선택과목,"기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 융합과학, 공학 일반"
전자공학과,전문교과Ⅰ,"심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제연구"
전자공학과,전문교과Ⅱ,"전자 회로, 디지털 논리 회로, 산업용 전자 기기 소프트웨어 개발"
전자과,공통과목,"수학, 과학, 기술ㆍ가정"
전자과,일반선택과목,"수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계, 과학교과 : 물리학Ⅰ, 화학Ⅰ, 기술ㆍ가정교과 : 기술ㆍ가정, 정보"
전자과,진로선택과목,"기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 융합과학, 공학일반"
전자과,전문교과Ⅰ,"심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제연구"
전자과,전문교과Ⅱ,"전자 회로, 디지털 논리 회로, 산업용 전자 기기 소프트웨어 개발"
농수산과,공통과목,"과학, 수학, 사회, 생활ㆍ교양"
농수산과,일반선택과목,"과학교과 : 생명과학Ⅰ, 화학Ⅰ, 물리Ⅰ, 지구과학Ⅰ, 수학ㆍ사회교과 : 수학Ⅰ, 수학Ⅱ, 확률과 통계, 미적분, 한국지리, 생활과 윤리, 생활ㆍ교양교과 : 환경, 보건학, 논술, 철학, 정보, 진로와 직업"
농수산과,진로선택과목,"생명과학Ⅱ, 융합과학, 생활과 과학, 화학Ⅱ, 공학일반, 창의경영, 지식 재산 일반, 농업생명과학, 사회문제 탐구"
농수산과,전문교과Ⅰ,"고급 생명과학, 생명과학 실험, 물리화학 실험, 융합과학 탐구, 과학 과제 연구, 생태와 환경, 정보과학"
농수산과,전문교과Ⅱ,"임산 가공, 제조화학, 생명공학 기술, 산림 자원"
농업경제학과,공통과목,"수학, 사회, 교양, 과학"
농업경제학과,일반선택과목,"수학교과 : 수학I, 수학II, 미적분, 확률과 통계, 사회교과 : 경제, 사회문화, 정치와 법, 생활과 윤리, 한국지리, 세계지리, 교양교과 : 실용경제, 철학, 논술, 심리학, 환경, 교육학"
농업경제학과,진로선택과목,"실용수학, 경제수학, 수학과제 탐구, 사회문제 탐구, 창의경영, 미적분, 농업생명과학, 생활과 창의성"
농업경제학과,전문교과Ⅰ,"사회탐구 방법, 사회과제 연구, 한국사회의 이해, 국제경제, 심화수학I, 심화수학II, 고급수학I, 고급수학II, 과학과제 연구, 정보과학"
농업경제학과,전문교과Ⅱ,"농업 경영, 농산물 유통 관리, 농업 기초 기술, 관광 농업, 농산 식품 가공"
농업교육과,공통과목,"수학, 사회, 과학"
